Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,LR_Signal
2014-06-10,21.342229515945743,21.41432396004956,21.08088608177744,21.234086990356445,251108000,0.0,0.0,1
2014-06-11,21.20705588607527,21.348993091516117,21.05836181236049,21.14622688293457,182724000,0.0,0.0,1
2014-06-12,21.18677790435946,21.2048019474262,20.704645924961955,20.792510986328125,218996000,0.0,0.0,1
2014-06-13,20.772233727943465,20.826305857715802,20.47484388966511,20.56496238708496,218100000,0.0,0.0,1
2014-06-16,20.61678131504332,20.896147113225677,20.603262423013565,20.772233963012695,142244000,0.0,0.0,1
2014-06-17,20.79701426671369,20.884879320175312,20.68211486995138,20.745197296142578,118904000,0.0,0.0,1
2014-06-18,20.787996928436453,20.79250379707851,20.580725661437448,20.76772117614746,134056000,0.0,0.0,1
2014-06-19,20.79250809665758,20.794761531444586,20.578476482436955,20.69563102722168,142112000,0.0,0.0,1
2014-06-20,20.693380108755104,20.851087904547683,20.4793501873755,20.481603622436523,403592000,0.0,0.0,1
2014-06-23,20.573971511898254,20.641560805163415,20.411758583155574,20.463577270507812,174776000,0.0,0.0,1
2014-06-24,20.445555468817343,20.668597410830685,20.319390607697446,20.33966636657715,156144000,0.0,0.0,1
2014-06-25,20.323894255974235,20.434288501290432,20.197729404184294,20.357688903808594,147476000,0.0,0.0,1
2014-06-26,20.359950452166963,20.513151427048655,20.231532114315243,20.47935676574707,130516000,0.0,0.0,1
2014-06-27,20.46132802149213,20.727176660457037,20.450062564020975,20.722671508789062,256116000,0.0,0.0,1
2014-06-30,20.749705233270387,21.116937821842626,20.747451798070347,20.93670082092285,197929200,0.0,0.0,1
2014-07-01,21.06962585449219,21.19353901676052,20.981760782653758,21.069625854492188,152892000,0.0,0.0,1
2014-07-02,21.148476780730263,21.191281731755314,20.97274495010952,21.060611724853516,113860000,0.0,0.0,1
2014-07-03,21.103414260851384,21.200291326612078,20.997525175151665,21.184520721435547,91567200,0.0,0.0,1
2014-07-07,21.20930634362025,21.626102441211668,21.200294322407743,21.621597290039062,225872000,0.0,0.0,1
2014-07-08,21.68918393526004,21.808591922024547,21.15974017365102,21.48191261291504,260888000,0.0,0.0,1
2014-07-09,21.50218838270874,21.617087771640186,21.34898747859974,21.490922927856445,145744000,0.0,0.0,1
2014-07-10,21.123693442146926,21.52697234294967,21.069621318143955,21.412071228027344,158744000,0.0,0.0,1
2014-07-11,21.484166488755097,21.60357275910295,21.37151880444697,21.452625274658203,136072000,0.0,0.0,1
2014-07-14,21.596814789253813,21.828868750530653,21.549502966758592,21.729738235473633,171240000,0.0,0.0,1
2014-07-15,21.808592784912463,21.819856522237423,21.409819012301977,21.475154876708984,181911600,0.0,0.0,1
2014-07-16,21.846890097319363,21.876177873669,21.344480716662577,21.353492736816406,213585200,0.0,0.0,1
2014-07-17,21.409821425474878,21.466145275049996,20.85559495191982,20.972747802734375,229192000,0.0,0.0,1
2014-07-18,21.09215045337817,21.34448013534488,20.95697187361938,21.274639129638672,199952000,0.0,0.0,1
2014-07-21,21.400806618934958,21.403060053907673,21.11468225662115,21.164247512817383,156316000,0.0,0.0,1
2014-07-22,21.33096333699008,21.378275153184095,21.20479849380604,21.339975357055664,220788000,0.0,0.0,1
2014-07-23,21.49768577523012,22.05191223027273,21.44136192753635,21.896459579467773,371672000,0.0,0.0,1
2014-07-24,21.86266221787037,21.92574464445147,21.72297847410707,21.860408782958984,182916000,0.0,0.0,1
2014-07-25,21.819858372210405,22.042900329015538,21.772546546152796,22.004600524902344,173876000,0.0,0.0,1
2014-07-28,22.038392586808648,22.358311593324675,21.977563594418733,22.308746337890625,221272000,0.0,0.0,1
2014-07-29,22.378586197037773,22.40336882157317,22.135266820981347,22.164554595947266,172572000,0.0,0.0,1
2014-07-30,22.178075422574523,22.23665097762385,22.004597035670702,22.11273956298828,132040000,0.0,0.0,1
2014-07-31,21.889696618905486,21.95503075657228,21.477405723640207,21.53823471069336,227372000,0.0,0.0,1
2014-08-01,21.380531916872442,21.76804024569238,21.360254438850898,21.657644271850586,194044000,0.0,0.0,1
2014-08-04,21.71171395248254,21.75902577070821,21.44135849550667,21.535982131958008,159832000,0.0,0.0,1
2014-08-05,21.484166078760634,21.556260526587327,21.258870714443823,21.430095672607422,223732000,0.0,0.0,1
2014-08-06,21.346736868117446,21.51120324883833,21.337724846816695,21.3940486907959,154232000,0.0,0.0,1
2014-08-07,21.493673094520545,21.724616677509054,21.305747381182375,21.391786575317383,186844000,0.1175,0.0,1
2014-08-08,21.341968661756436,21.468761045326456,21.120080263092227,21.450647354125977,167460000,0.0,0.0,1
2014-08-11,21.57065517931168,21.754053344727907,21.473296213878978,21.733675003051758,146340000,0.0,0.0,1
2014-08-12,21.744992193126723,21.93518079824505,21.647633246958932,21.729143142700195,135180000,0.0,0.0,1
2014-08-13,21.769896712741275,22.01668930053711,21.74499081687348,22.01668930053711,127664000,0.0,0.0,1
2014-08-14,22.03706931133832,22.09140866671656,21.917069109811937,22.075559616088867,112464000,0.0,0.0,1
2014-08-15,22.16612664668718,22.23178749368456,21.93065380044666,22.184240341186523,195804000,0.0,0.0,1
2014-08-18,22.299708373683792,22.498955532580883,22.18423747286854,22.45140838623047,190288000,0.0,0.0,1
2014-08-19,22.50801379059314,22.795561330107425,22.487635453783614,22.761598587036133,277596000,0.0,0.0,1
2014-08-20,22.74122693793118,22.888395977645654,22.630281837871294,22.770660400390625,210796000,0.0,0.0,1
2014-08-21,22.770654057792793,22.85442858865109,22.66650291877308,22.772918701171875,133912000,0.0,0.0,1
2014-08-22,22.707261531184276,22.974432488327576,22.68462027598577,22.94046974182129,176736000,0.0,0.0,1
2014-08-25,23.04688988578782,23.13292736272717,22.931417216866496,22.990285873413086,161080000,0.0,0.0,1
2014-08-26,22.963107412003662,22.981221104301365,22.8363150207533,22.843107223510742,132608000,0.0,0.0,1
2014-08-27,22.87254511958148,23.223490634478733,22.800092063737697,23.12386703491211,209476000,0.0,0.0,1
2014-08-28,23.001601819176123,23.27103742610374,22.994809615206027,23.151037216186523,273840000,0.0,0.0,1
2014-08-29,23.289153419428494,23.298210268087896,23.13971800767425,23.207643508911133,178380000,0.0,0.0,1
2014-09-02,23.33443188196054,23.48839482759146,23.257451272853555,23.38877296447754,214256000,0.0,0.0,1
2014-09-03,23.34348757047824,23.36612882336146,22.32008808437147,22.40159797668457,501684000,0.0,0.0,1
2014-09-04,22.381223202495953,22.66197858325511,22.141222774380637,22.215940475463867,342872000,0.0,0.0,1
2014-09-05,22.36989974275412,22.503484343154298,22.258954667684268,22.408390045166016,233828000,0.0,0.0,1
2014-09-08,22.483106682151174,22.485369598128234,22.20008671750887,22.270275115966797,185426800,0.0,0.0,1
2014-09-09,22.43330064204494,23.33896476103827,21.76763696181133,22.186506271362305,759385200,0.0,0.0,1
2014-09-10,22.191033804906322,22.89292309615193,22.134429801944304,22.868017196655273,403478400,0.0,0.0,1
2014-09-11,22.73443233076689,22.967640544039106,22.555563476068524,22.965375900268555,249412400,0.0,0.0,1
2014-09-12,22.915567797585044,23.137456282624246,22.886134333489142,23.0174560546875,250504400,0.0,0.0,1
2014-09-15,23.277827293121074,23.332168374260476,22.967638493513967,23.010656356811523,245266000,0.0,0.0,1
2014-09-16,22.596316663935447,22.926883804546563,22.39027728231639,22.83631706237793,267632400,0.0,0.0,1
2014-09-17,22.929142309407748,23.04914421295887,22.775179395566933,22.999332427978516,243706000,0.0,0.0,1
2014-09-18,23.078586458066592,23.173680777945073,22.994811903459023,23.04688835144043,149197600,0.0,0.0,1
2014-09-19,23.160094825649917,23.173679234036875,22.754809943740014,22.85896110534668,283609600,0.0,0.0,1
2014-09-22,23.049148502826768,23.126129110366378,22.77292071828221,22.88159942626953,211153600,0.0,0.0,1
2014-09-23,22.777449077443293,23.307263411581317,22.763864670322338,23.239337921142578,253608800,0.0,0.0,1
2014-09-24,23.130661751423947,23.286887632735265,22.91330084909859,23.037830352783203,240687200,0.0,0.0,1
2014-09-25,22.757078151254024,22.802360671246323,22.12537715108223,22.159339904785156,400368000,0.0,0.0,1
2014-09-26,22.30876713169556,22.811410903930664,22.27933367497993,22.811410903930664,249482000,0.0,0.0,1
2014-09-29,22.33593490305848,22.74121968062785,22.33140561648413,22.666501998901367,199065200,0.0,0.0,1
2014-09-30,22.824995310504505,22.990279742626203,22.76159910993736,22.811410903930664,221056400,0.0,0.0,1
2014-10-01,22.775185926770945,22.79782891001283,22.34725980023909,22.45594024658203,205965200,0.0,0.0,1
2014-10-02,22.476316237035878,22.69141247996585,22.197825515999856,22.618959426879883,191031200,0.0,0.0,1
2014-10-03,22.51480421534214,22.6891437491261,22.424237483444596,22.555559158325195,173878400,0.0,0.0,1
2014-10-06,22.630275114280188,22.78876732695507,22.510274928668057,22.555559158325195,148204800,0.0,0.0,1
2014-10-07,22.512542582207647,22.66877017243503,22.354052075757377,22.358579635620117,168376800,0.0,0.0,1
2014-10-08,22.360838483328155,22.892915591259,22.25895027494788,22.82272720336914,229618800,0.0,0.0,1
2014-10-09,22.990280621156383,23.18046923012552,22.77971367413085,22.872543334960938,309506000,0.0,0.0,1
2014-10-10,22.797822198432065,23.101218737483276,22.709520117519155,22.8068790435791,265326400,0.0,0.0,1
2014-10-13,22.94273655164659,23.044623073367756,22.598583221435547,22.598583221435547,214333600,0.0,0.0,1
2014-10-14,22.729901731375286,22.75933518902549,22.317824687187624,22.358579635620117,254754400,0.0,0.0,1
2014-10-15,22.18197273571189,22.449143647944254,21.550271975584103,22.084613800048828,403734400,0.0,0.0,1
2014-10-16,21.634048474229825,22.12537075655904,21.602350373912902,21.794803619384766,288618000,0.0,0.0,1
